Time treatment begin,Treatment total cost
666,3.4314
667,3.4013
668,3.4013
669,3.4013
670,3.4013
671,3.4013
672,3.4013
673,3.4013
674,3.4013
675,3.4013
676,3.4013
677,3.4013
678,3.3712
679,3.3712
680,3.3712
681,3.3712
682,3.3712
683,3.3712
684,3.3712
685,3.3712
686,3.3712
687,3.3712
688,3.3712
689,3.3712
690,3.3411
691,3.3411
692,3.3411
693,3.3411
694,3.3411
695,3.3411
696,3.3411
697,3.3411
698,3.3411
699,3.3411
700,3.3411
701,3.311
702,3.311
703,3.311
704,3.311
705,3.311
706,3.311
707,3.311
708,3.311
709,3.311
710,3.311
711,3.311
712,3.311
713,3.2809
714,3.2809
715,3.2809
716,3.2809
717,3.2809
718,3.2809
719,3.2809
720,3.2809
721,3.2809
722,3.2809
723,3.2809
724,3.2809
725,3.2508
726,3.2508
727,3.2508
728,3.2508
729,3.2508
730,3.2508
731,3.2508
732,3.2508
733,3.2508
734,3.2508
735,3.2508
736,3.2508
737,3.2207
738,3.2207
739,3.2207
740,3.2207
741,3.2207
742,3.2207
743,3.2207
744,3.2207
745,3.2207
746,3.2207
747,3.2207
748,3.2207
749,3.1906
750,3.1906
751,3.1906
752,3.1906
753,3.1906
754,3.1906
755,3.1906
756,3.1906
757,3.1906
758,3.1906
759,3.1906
760,3.1906
761,3.1906
762,3.1605
763,3.1605
764,3.1605
765,3.1605
766,3.1605
767,3.1605
768,3.1605
769,3.1605
770,3.1605
771,3.1605
772,3.1605
773,3.1605
774,3.1605
775,3.1304
776,3.1304
777,3.1304
778,3.1304
779,3.1304
780,3.1304
781,3.1304
782,3.1304
783,3.1304
784,3.1304
785,3.1304
786,3.1304
787,3.1304
788,3.1304
789,3.1003
790,3.1003
791,3.1003
792,3.1003
793,3.1003
794,3.1003
795,3.1003
796,3.1003
797,3.1003
798,3.1003
799,3.1003
800,3.1003
801,3.1003
802,3.1003
803,3.0702
804,3.0702
805,3.0702
806,3.0702
807,3.0702
808,3.0702
809,3.0702
810,3.0702
811,3.0702
812,3.0702
813,3.0702
814,3.0702
815,3.0702
816,3.0702
817,3.0401
818,3.0401
819,3.0401
820,3.0401
821,3.0401
822,3.0401
823,3.0401
824,3.0401
825,3.0401
826,3.0401
827,3.0401
828,3.0401
829,3.0401
830,3.0401
831,3.0401
832,3.01
833,3.01
834,3.01
835,3.01
836,3.01
837,3.01
838,3.01
839,3.01
840,3.01
841,3.01
842,3.01
843,3.01
844,3.01
845,3.01
846,3.01
847,3.01
848,2.9798999999999998
849,2.9798999999999998
850,2.9798999999999998
851,2.9798999999999998
852,2.9798999999999998
853,2.9798999999999998
854,2.9798999999999998
855,2.9798999999999998
856,2.9798999999999998
857,2.9798999999999998
858,2.9798999999999998
859,2.9798999999999998
860,2.9798999999999998
861,2.9798999999999998
862,2.9798999999999998
863,2.9798999999999998
864,2.9798999999999998
865,2.9497999999999998
866,2.9497999999999998
867,2.9497999999999998
868,2.9497999999999998
869,2.9497999999999998
870,2.9497999999999998
871,2.9497999999999998
872,2.9497999999999998
873,2.9497999999999998
874,2.9497999999999998
875,2.9497999999999998
876,2.9497999999999998
877,2.9497999999999998
878,2.9497999999999998
879,2.9497999999999998
880,2.9497999999999998
881,2.9497999999999998
882,2.9196999999999997
883,2.9196999999999997
884,2.9196999999999997
885,2.9196999999999997
886,2.9196999999999997
887,2.9196999999999997
888,2.9196999999999997
889,2.9196999999999997
890,2.9196999999999997
891,2.9196999999999997
892,2.9196999999999997
893,2.9196999999999997
894,2.9196999999999997
895,2.9196999999999997
896,2.9196999999999997
897,2.9196999999999997
898,2.9196999999999997
899,2.9196999999999997
900,2.9196999999999997
901,2.9196999999999997
902,2.8895999999999997
903,2.8895999999999997
904,2.8895999999999997
905,2.8895999999999997
906,2.8895999999999997
907,2.8895999999999997
908,2.8895999999999997
909,2.8895999999999997
910,2.8895999999999997
911,2.8895999999999997
912,2.8895999999999997
913,2.8895999999999997
914,2.8895999999999997
915,2.8895999999999997
916,2.8895999999999997
917,2.8895999999999997
918,2.8895999999999997
919,2.8895999999999997
920,2.8895999999999997
921,2.8895999999999997
922,2.8895999999999997
923,2.8595
924,2.8595
925,2.8595
926,2.8595
927,2.8595
928,2.8595
929,2.8595
930,2.8595
931,2.8595
932,2.8595
933,2.8595
934,2.8595
935,2.8595
936,2.8595
937,2.8595
938,2.8595
939,2.8595
940,2.8595
941,2.8595
942,2.8595
943,2.8595
944,2.8595
945,2.8595
946,2.8595
947,2.8595
948,2.8294
949,2.8294
950,2.8294
951,2.8294
952,2.8294
953,2.8294
954,2.8294
955,2.8294
956,2.8294
957,2.8294
958,2.8294
959,2.8294
960,2.8294
961,2.8294
962,2.8294
963,2.8294
964,2.8294
965,2.8294
966,2.8294
967,2.8294
968,2.8294
969,2.8294
970,2.8294
971,2.8294
972,2.8294
973,2.8294
974,2.8294
975,2.8294
976,2.8294
977,2.8294
978,2.7993
979,2.7993
980,2.7993
981,2.7993
982,2.7993
983,2.7993
984,2.7993
985,2.7993
986,2.7993
987,2.7993
988,2.7993
989,2.7993
990,2.7993
991,2.7993
992,2.7993
993,2.7993
994,2.7993
995,2.7993
996,2.7993
997,2.7993
998,2.7993
999,2.7993
1000,2.7993
1001,2.7993
1002,2.7993
1003,2.7993
1004,2.7993
1005,2.7993
1006,2.7993
1007,2.7993
1008,2.7993
1009,2.7993
1010,2.7993
1011,2.7993
1012,2.7993
1013,2.7993
1014,2.7993
1015,2.7993
1016,2.7993
1017,2.7993
1018,2.7993
1019,2.7993
1020,2.7993
1021,2.7993
1022,2.7692
